DevEUI;Unix Time;X;Y
07293314052d6838;1666540214;1858.3203125;211.6953125
07293314052d7b02;1666540603;-5312.59765625;-3195.08203125
07293314052d6838;1666541118;1858.2890625;211.7890625
07293314052dc6c1;1666541501;-1832.9921875;-2357.4921875
07293314052d55e4;1666528779;-4731.23046875;-1229.4765625
07293314052ddb11;1666543301;-8397.25;-2089.2265625
07293314052d6fd4;1666543347;-4195.02734375;-5803.7109375
07293314052db42a;1666543340;-9164.47265625;-11711.171875
07293314052d6838;1666543875;1858.21875;211.99609375
07293314052ddb11;1666544202;-8397.28515625;-2089.30859375
07293314052d6838;1666544779;1858.3203125;212.30859375
07293314052db42a;1666545164;-9164.41796875;-11711.00390625
07293314052d68d0;1666545894;-568.3671875;-1819.80078125
07293314052d6fd4;1666546088;-4194.81640625;-5803.83203125
07293314052dc1d9;1666546969;-5317.03125;-754.203125
07293314052d6838;1666547512;1858.3046875;212.38671875
07293314052d7b02;1666547900;-5312.9453125;-3195.296875
07293314052d2826;1666549492;-8606.96484375;-2927.32421875
07293314052d6838;1666548431;1858.2890625;212.34375
07293314052dedbb;1666549747;-3045.55078125;-725.70703125
07293314052d68d0;1666549545;-567.5078125;-1819.5625
07293314052d6838;1666550242;1858.25;212.28515625
07293314052d6fd4;1666550639;-4194.765625;-5803.64453125
07293314052d6838;1666551161;1858.23828125;212.20703125
07293314052d55e4;1666538811;-4730.98828125;-1229.31640625
07293314052d6838;1666552074;1858.22265625;212.18359375
07293314052d6fd4;1666552464;-4194.84765625;-5804.578125
07293314052d68d0;1666553204;-567.15625;-1819.45703125
07293314052d4305;1666553495;-4564.84765625;-3145.60546875
07293314052d55e4;1666541546;-4730.87890625;-1228.58984375
07293314052d6838;1666554793;1858.19921875;212.0625
07293314052d6fd4;1666555191;-4194.7578125;-5803.828125
07293314052d68d0;1666555930;-567.08203125;-1819.5078125
07293314052d7b02;1666556110;-5313.21875;-3194.94921875
07293314052d7b02;1666557011;-5313.1171875;-3195.05078125
07293314052d6cbe;1666557722;-5498.8984375;-1984.71875
07293314052dedbb;1666557961;-3045.64453125;-725.859375
07293314052d6cbe;1666558632;-5498.87109375;-1984.88671875
07293314052d4305;1666558984;-4564.92578125;-3145.52734375
07293314052d6fd4;1666559773;-4194.7734375;-5803.0625
07293314052d2826;1666560489;-8606.62109375;-2926.375
07293314052d4305;1666560823;-4564.94140625;-3145.4375
07293314052d7b02;1666561568;-5312.9921875;-3195.1328125
07293314052dc1d9;1666576443;-5318.41796875;-760.34375
07293314052dc6c1;1666576998;-1832.43359375;-2359.453125
07293314052d4305;1666576427;-4565.34375;-3146.39453125
07293314052dedbb;1666577060;-3045.80078125;-725.765625
07293314052d6838;1666577525;1858.18359375;213.5390625
07293314052d55e4;1666565200;-4730.32421875;-1230.9765625
07293314052d6cbe;1666578790;-5497.68359375;-1988.8515625
07293314052d4305;1666579185;-4565.22265625;-3146.77734375
07293314052d2826;1666579723;-9025.87109375;-2925.6015625
07293314052d4305;1666580103;-4565.25;-3146.96875
07293314052d2826;1666580641;-8712.43359375;-2927.4609375
07293314052d4305;1666581022;-4565.2109375;-3146.88671875
07293314052d7b02;1666581664;-5313.58984375;-3196.078125
07293314052d68d0;1666582415;-566.44140625;-1820.0546875
07293314052d6fd4;1666582586;-4195.5546875;-5802.9140625
07293314052ddb11;1666583370;-8398.07421875;-2090.7578125
07293314052d6d1f;1666583379;27.42578125;-102.76953125
07293314052ddb11;1666584284;-8399.0078125;-2091.26953125
07293314052d4305;1666584671;-4565.64453125;-3148.3125
07293314052d55e4;1666572492;-4730.3671875;-1232.48828125
07293314052dd80b;1666575469;-5459.83984375;3250.390625
07293314052d6cbe;1666586079;-5496.6015625;-1991.171875
07293314052d4305;1666586510;-4564.98828125;-3148.78125
07293314052ddb11;1666587023;-8398.76953125;-2091.47265625
07293314052d6fd4;1666587142;-4195.73828125;-5802.171875
07293314052dd80b;1666587615;-5461.2578125;3245.5703125
07293314052d6fd4;1666588059;-4195.703125;-5801.59765625
07293314052ddb11;1666588839;-8399.05078125;-2090.8125
07293314052dc1d9;1666589253;-5317.89453125;-763.734375
07293314052ddb11;1666597013;-8398.875;-2090.1953125
07293314052d7b02;1666597147;-5316.02734375;-3196.5234375
07293314052d6cbe;1666597034;-5496.14453125;-1991.3046875
07293314052dc1d9;1666597494;-5317.578125;-763.3125
07293314052dedbb;1666598021;-3045.9140625;-726.62109375
07293314052dc1d9;1666598414;-5317.58203125;-762.81640625
07293314052d55e4;1666586203;-4729.5625;-1235.83203125
07293314052d6cbe;1666599750;-5496.6640625;-1989.79296875
07293314052d55e4;1666587121;-4729.3828125;-1235.6484375
07293314052db42a;1666600682;-9164.109375;-11708.34765625
07293314052dc1d9;1666601170;-5313.23828125;-761.98046875
07293314052d2826;1666601573;-8639.48046875;-2927.89453125
