DevEUI;Unix Time;Pressure
07293314052d2ef0;1666540174;224.2533
07293314052d2ef0;1666540774;224.2531
07293314052d2ef0;1666541370;224.253
07293314052d2ef0;1666543178;224.25289999999998
07293314052d2ef0;1666544045;224.2524
07293314052d2ef0;1666544635;224.2524
07293314052d2ef0;1666545235;224.2522
07293314052d2ef0;1666546125;224.2523
07293314052d2ef0;1666547035;224.2522
07293314052d2ef0;1666547905;224.2513
07293314052d2ef0;1666548815;224.2516
07293314052d2ef0;1666549701;224.2509
07293314052d2ef0;1666550611;224.2513
07293314052d2ef0;1666551501;224.25119999999998
07293314052d2ef0;1666552121;224.2507
07293314052d2ef0;1666552403;224.2506
07293314052d2ef0;1666553314;224.2506
07293314052d2ef0;1666554211;224.2502
07293314052d2ef0;1666555101;224.2497
07293314052d2ef0;1666555698;224.25
07293314052d2ef0;1666555988;224.24949999999998
07293314052d2ef0;1666556885;224.2491
07293314052d2ef0;1666557789;224.249
07293314052d2ef0;1666558691;224.24869999999999
07293314052d2ef0;1666559595;224.2484
07293314052d2ef0;1666560502;224.2482
07293314052d2ef0;1666561392;224.2479
07293314052d2ef0;1666562302;224.2472
07293314052d2ef0;1666576708;224.2438
07293314052d2ef0;1666577894;224.2434
07293314052d2ef0;1666578204;224.2434
07293314052d2ef0;1666578804;224.24269999999999
07293314052d2ef0;1666579401;224.2425
07293314052d2ef0;1666579691;224.243
07293314052d2ef0;1666580597;224.2428
07293314052d2ef0;1666581504;224.24259999999998
07293314052d2ef0;1666582093;224.2424
07293314052d2ef0;1666582700;224.24169999999998
07293314052d2ef0;1666583300;224.2412
07293314052d2ef0;1666583909;224.2412
07293314052d2ef0;1666585110;224.2412
07293314052d2ef0;1666586012;224.2411
07293314052d2ef0;1666586910;224.24099999999999
07293314052d2ef0;1666588710;224.2395
07293314052d2ef0;1666589899;224.24009999999998
07293314052d2ef0;1666597108;224.2404
07293314052d2ef0;1666597999;224.2395
07293314052d2ef0;1666599502;224.2394
07293314052d2ef0;1666600107;224.2393
07293314052d2ef0;1666600703;224.2395
07293314052d2ef0;1666601309;224.2406
07293314052d2ef0;1666601902;224.2396
07293314052d2ef0;1666602507;224.2397
